stop_id,stop_name,stop_lat,stop_lon
de:08126:10158:0:2,Pfedelbach Erich-Fritz-Halle,49.179806,9.506502
de:08126:10159:0:1,Pfedelbach Espig Abzweig,49.149367,9.516402
de:08126:10159:0:2,Pfedelbach Espig Abzweig,49.149338,9.516294
de:08126:10160:0:1,Pfedelb. Heuberg Bergstr./Kiga,49.160835,9.497834
de:08126:10160:0:2,Pfedelb. Heuberg Bergstr./Kiga,49.160835,9.497834
de:08126:10161:0:1,Pfedelbach Heuberg Ort,49.160501,9.500079
de:08126:10161:0:2,Pfedelbach Heuberg Ort,49.160501,9.500079
de:08126:10163:0:1,Harsberg Baierbach,49.171056,9.528331
de:08126:10163:0:2,Harsberg Baierbach,49.171038,9.528340
de:08126:10164:0:1,Harsberg Heuholz,49.153915,9.544699
de:08126:10164:0:2,Harsberg Heuholz,49.153915,9.544699
de:08126:10165:0:1,Harsberg Abzweig,49.156970,9.541357
de:08126:10165:0:2,Harsberg Abzweig,49.156970,9.541357
de:08126:10166:0:1,Harsberg Oberhöfen,49.161164,9.539003
de:08126:10166:0:2,Harsberg Oberhöfen,49.161164,9.539003
de:08126:10167:0:1,Harsberg Unterhöfen,49.164889,9.535419
